value,rank,id,name,long_name
0.65,9,1,A,A - Quiquia eius modi modi ut
0.41,4,2,B,B - Neque ipsum sit quiquia est sit
0.965,16,3,C,C - Sed amet tempora magnam sit quaerat modi labore
0.585,6,4,D,D - Dolor quisquam amet est
0.417,5,5,E,E - Quaerat numquam sit ut
0.058,1,6,F,F - Quisquam aliquam magnam voluptatem
0.362,3,7,G,G - Dolore velit consectetur dolor non dolore eius
0.715,10,8,H,H - Quiquia dolor dolor tempora sit porro non quisquam
0.754,11,9,I,I - Tempora magnam adipisci velit
0.894,14,10,J,J - Ipsum voluptatem aliquam magnam quisquam dolorem ut quaerat
0.848,13,11,K,K - Ipsum quisquam eius modi tempora dolore quisquam amet
0.773,12,12,L,L - Adipisci quiquia amet porro
0.144,2,13,M,M - Etincidunt porro magnam dolor ut sed
0.956,15,14,N,N - Est neque quisquam dolore
0.596,7,15,O,O - Consectetur dolore sed adipisci dolorem labore
0.638,8,16,P,P - Numquam aliquam labore labore est
