value,rank,id,name,long_name
0.288,6,1,A,A - Modi sed velit labore ut adipisci magnam est
0.196,4,2,B,B - Labore dolorem modi quisquam dolorem numquam
0.215,5,3,C,C - Velit dolore neque non consectetur ut adipisci
0.049,1,4,D,D - Quiquia modi consectetur quaerat etincidunt
0.419,7,5,E,E - Consectetur aliquam velit magnam neque
0.593,8,6,F,F - Sit porro dolore voluptatem est
0.988,12,7,G,G - Quiquia quaerat amet sit
0.781,10,8,H,H - Est tempora numquam dolorem
0.113,3,9,I,I - Non consectetur sed labore eius
0.836,11,10,J,J - Porro neque amet quiquia consectetur non quiquia
0.66,9,11,K,K - Dolore tempora voluptatem numquam
0.058,2,12,L,L - Magnam ipsum ut ut dolorem dolore
