value,rank,id,name,long_name
0.851,10,1,A,A - Dolor tempora amet dolorem aliquam
0.729,8,2,B,B - Tempora labore etincidunt consectetur quiquia
0.259,3,3,C,C - Dolor aliquam adipisci ipsum etincidunt adipisci amet neque
0.946,11,4,D,D - Non porro etincidunt porro quaerat tempora dolorem dolorem
0.524,5,5,E,E - Tempora ut modi quiquia quisquam porro
0.966,12,6,F,F - Dolore velit eius numquam sed etincidunt sit ut
0.705,7,7,G,G - Est dolorem dolor quisquam ipsum
0.682,6,8,H,H - Sed modi etincidunt modi non
0.116,2,9,I,I - Quiquia aliquam ipsum tempora modi adipisci neque amet
0.092,1,10,J,J - Ut numquam amet dolor ipsum neque tempora
0.746,9,11,K,K - Etincidunt magnam dolorem aliquam voluptatem dolore numquam sit
0.415,4,12,L,L - Dolore aliquam quisquam quaerat eius voluptatem etincidunt labore
