value,rank,id,name,long_name
0.366,7,1,A,A - Est amet numquam porro
0.053,4,2,B,B - Non porro magnam ut
0.535,8,3,C,C - Sit labore ipsum adipisci quiquia magnam voluptatem ipsum
0.096,5,4,D,D - Quiquia velit aliquam labore quaerat labore ut sed
0.005,2,5,E,E - Porro velit est velit ut
0.909,12,6,F,F - Sed quiquia non modi
0.015,3,7,G,G - Sed voluptatem ipsum aliquam labore
0.706,11,8,H,H - Aliquam ut dolore sed non porro quaerat
0.121,6,9,I,I - Etincidunt consectetur magnam voluptatem est
0.613,10,10,J,J - Labore ipsum sed sed neque
0.0,1,11,K,K - Dolorem consectetur dolore dolore sit
0.586,9,12,L,L - Sed quisquam tempora voluptatem tempora
