value,rank,id,name,long_name
9.813,5,1,A,A - Aliquam labore quiquia sit est sed velit
6.506,1,2,B,B - Numquam etincidunt modi dolorem ipsum quiquia ipsum
10.99,10,3,C,C - Porro non porro dolore est ut etincidunt
7.897,2,4,D,D - Neque non magnam quisquam quaerat dolore
8.338,3,5,E,E - Non modi quaerat amet ipsum est est
11.653,12,6,F,F - Modi dolorem quisquam modi etincidunt quiquia
10.134,7,7,G,G - Aliquam sed aliquam adipisci non dolor
11.202,11,8,H,H - Amet ipsum tempora consectetur dolor quaerat ut
10.687,9,9,I,I - Quaerat sit amet dolor ut etincidunt etincidunt dolore
9.052,4,10,J,J - Labore quaerat ut modi velit non est magnam
10.122,6,11,K,K - Sed dolorem numquam modi sit
10.171,8,12,L,L - Dolorem voluptatem est quisquam
