value,rank,id,name,long_name
0.226,8,1,A,A - Etincidunt amet sit sed etincidunt quisquam
0.036,2,2,B,B - Quiquia porro sit quiquia modi
0.61,21,3,C,C - Tempora voluptatem consectetur labore consectetur magnam sit
0.326,13,4,D,D - Sed amet neque etincidunt
0.445,18,5,E,E - Consectetur aliquam ipsum amet
0.204,7,6,F,F - Sit non aliquam quisquam
0.909,29,7,G,G - Dolorem velit dolorem quisquam quisquam magnam
0.94,31,8,H,H - Sit sit voluptatem modi tempora
0.599,20,9,I,I - Quisquam amet velit quaerat
0.011,1,10,J,J - Voluptatem neque velit ipsum magnam quisquam
0.093,5,11,K,K - Dolorem ut etincidunt magnam
0.455,19,12,L,L - Porro numquam magnam consectetur ut velit magnam
0.813,25,13,M,M - Non quaerat quiquia eius modi sed
0.149,6,14,N,N - Dolore labore modi dolor
0.933,30,15,O,O - Voluptatem magnam quisquam porro non quaerat quiquia
0.742,22,16,P,P - Sed adipisci sed non
0.992,32,17,Q,Q - Quisquam porro quaerat ut ut quaerat
0.798,23,18,R,R - Velit quiquia etincidunt est consectetur etincidunt
0.045,4,19,S,S - Sit ut aliquam dolorem numquam
0.871,27,20,T,T - Ut quiquia tempora ipsum dolorem
0.843,26,21,U,U - Neque ut etincidunt magnam est eius consectetur adipisci
0.274,11,22,V,V - Etincidunt velit neque dolorem tempora eius voluptatem dolor
0.81,24,23,W,W - Dolor sit tempora aliquam etincidunt sit quisquam velit
0.229,9,24,X,X - Quaerat sit magnam modi porro
0.346,15,25,Y,Y - Adipisci dolor sed adipisci numquam
0.04,3,26,Z,Z - Sed sit dolore sit etincidunt adipisci aliquam amet
0.341,14,27,AA,AA - Numquam dolor sit amet eius
0.27,10,28,AB,AB - Modi quisquam dolorem dolor eius ut
0.424,16,29,AC,AC - Numquam labore dolor magnam consectetur
0.426,17,30,AD,AD - Modi quaerat magnam ipsum magnam quisquam porro
0.898,28,31,AE,AE - Aliquam numquam magnam magnam sed adipisci porro
0.279,12,32,AF,AF - Dolor sed porro aliquam
