value,rank,id,name,long_name
0.56,7,1,A,A - Quiquia dolor eius voluptatem magnam ut adipisci non
0.583,8,2,B,B - Magnam labore dolorem quisquam ipsum
0.355,5,3,C,C - Consectetur modi dolorem sed etincidunt
0.183,3,4,D,D - Voluptatem adipisci est porro neque
0.658,9,5,E,E - Sit quaerat adipisci modi adipisci ipsum numquam magnam
0.819,14,6,F,F - Adipisci quaerat consectetur quiquia
0.244,4,7,G,G - Tempora eius voluptatem dolorem aliquam eius ipsum sit
0.659,10,8,H,H - Consectetur modi sit dolor
0.851,16,9,I,I - Magnam numquam porro eius ipsum quiquia quaerat
0.818,13,10,J,J - Quiquia eius velit dolore
0.843,15,11,K,K - Neque magnam voluptatem ut non dolor etincidunt
0.777,12,12,L,L - Aliquam eius modi est modi ut porro est
0.152,1,13,M,M - Numquam aliquam neque neque sit
0.176,2,14,N,N - Modi dolor quaerat quiquia eius dolor quaerat modi
0.762,11,15,O,O - Porro quisquam amet labore
0.397,6,16,P,P - Dolor neque eius amet sed
