value,rank,id,name,long_name
0.248,3,1,A,A - Dolore velit ut aliquam eius dolore
0.933,11,2,B,B - Aliquam adipisci est modi sed sed modi labore
0.109,2,3,C,C - Non magnam consectetur tempora
0.58,6,4,D,D - Consectetur adipisci numquam quisquam
0.836,8,5,E,E - Velit consectetur eius velit dolor adipisci labore voluptatem
0.821,7,6,F,F - Sit sit etincidunt quiquia ipsum magnam porro
0.367,4,7,G,G - Quaerat aliquam amet velit
0.844,9,8,H,H - Magnam etincidunt ut non amet est numquam
0.487,5,9,I,I - Ut neque dolor modi sit
0.004,1,10,J,J - Sed adipisci quisquam dolorem
0.912,10,11,K,K - Magnam consectetur porro dolore sit labore quaerat
0.97,12,12,L,L - Ipsum dolorem consectetur ut
